Year;Primary County;Dual Eligible;Major Diagnostic Category;Episode Disease Category;Beneficiaries with Condition;Beneficiaries with Admissions;Total Inpatient Admissions;Beneficiaries with ER Visits;Total ER Visits
2012;Albany;Dual;Substance Abuse;Cocaine Abuse - Continuous;21;20;53;19;139
2012;Allegany;Dual;Diabetes Mellitus;Diabetes with Circulatory Complication;21;10;16;10;22
2012;Allegany;Non-Dual;Diabetes Mellitus;Other Diabetic Complications;21;11;25;15;34
2012;Allegany;Non-Dual;Substance Abuse;Opioid Abuse - Continuous;21;17;25;17;35
2012;Cattaraugus;Dual;Diseases And Disorders Of The Cardiovascular System;Chronic Cardiovascular Diagnoses - Minor;21;15;23;7;29
2012;Cattaraugus;Dual;Mental Diseases And Disorders;Attention Deficit / Hyperactivity Disorder;21;6;10;9;23
2012;Cattaraugus;Non-Dual;Diabetes Mellitus;Diabetic Nephropathy;21;10;19;8;36
2012;Chautauqua;Dual;Mental Diseases And Disorders;Conduct Disorder - Severe;21;1;1;10;18
2012;Chemung;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Ventricular and Atrial Septal Defects;21;15;28;10;26
2012;Chemung;Non-Dual;Mental Diseases And Disorders;Schizophrenia - Exacerbation;21;20;58;15;64
2012;Chenango;Dual;Diabetes Mellitus;Other Diabetic Complications;21;10;11;8;40
2012;Chenango;Non-Dual;HIV Infection;HIV Disease;21;6;15;13;88
2012;Chenango;Non-Dual;Substance Abuse;Other Significant Drug Abuse - Continuous;21;20;38;18;152
2012;Clinton;Non-Dual;Diabetes Mellitus;Diabetic Retinopathy;21;8;11;9;25
2012;Clinton;Non-Dual;Substance Abuse;Drug Abuse Related Diagnoses;21;11;28;18;64
2012;Columbia;Dual;Mental Diseases And Disorders;Major Personality Disorders;21;9;24;10;34
2012;Cortland;Dual;Substance Abuse;Drug Abuse - Cannabis/NOS/NEC;21;15;35;12;38
2012;Delaware;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Atrial Fibrillation;21;15;33;18;40
2012;Delaware;Non-Dual;Diseases And Disorders Of The Cardiovascular System;History of Percutaneous Transluminal Coronary Angioplasty;21;17;24;14;69
2012;Essex;Dual;Substance Abuse;Drug Abuse - Cannabis/NOS/NEC;21;9;16;14;82
2012;Essex;Non-Dual;Diabetes Mellitus;Diabetes - Juvenile Onset;21;10;35;12;69
2012;Franklin;Non-Dual;Substance Abuse;Drug Abuse Related Diagnoses;21;14;33;16;62
2012;Greene;Dual;Diabetes Mellitus;Other Diabetic Complications;21;14;21;9;27
2012;Herkimer;Dual;Mental Diseases And Disorders;Depressive Psychosis - Severe;21;8;12;4;12
2012;Herkimer;Non-Dual;Diabetes Mellitus;Other Diabetic Complications;21;16;58;14;63
2012;Herkimer;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Cardiac Device Status;21;12;30;9;24
2012;Jefferson;Dual;Mental Diseases And Disorders;Depressive Psychosis - Severe;21;8;16;8;30
2012;Jefferson;Non-Dual;HIV Infection;HIV Disease;21;8;20;12;37
2012;Kings;Dual;Substance Abuse;Alcoholic Polyneuropathy;21;17;79;8;84
2012;Madison;Dual;Diabetes Mellitus;Diabetic Nephropathy;21;10;20;13;26
2012;Madison;Dual;Diabetes Mellitus;Other Diabetic Complications;21;12;16;5;6
2012;Madison;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Ventricular and Atrial Septal Defects;21;16;34;13;25
2012;Montgomery;Non-Dual;Diseases And Disorders Of The Cardiovascular System;Cardiomyopathy;21;12;30;13;45
2012;Niagara;Non-Dual;Diseases And Disordes Of The Respiratory System;Chronic Bronchitis;21;12;37;17;100
2012;Niagara;Non-Dual;Diseases And Disordes Of The Respiratory System;Tracheostomy Status;21;13;26;13;31
2012;Ontario;Dual;Diseases And Disordes Of The Respiratory System;Other Major Chronic Pulmonary Diagnoses;21;17;29;4;10
