Discharge Year;Patient County;PDI Number;PDI Name;Medicaid PDI Hospitalizations;County Medicaid Population;Observed Rate per 100,000 people;Expected PQI Hospitalizations;Expected Rate per 100,000 people;Risk Adjusted Rate per 100,000 people;Difference in Hospitalizations
2011;Albany;PDI_14;Asthma;32;15,149;211.24;50.09;330.65;202.75;-18.09
2011;Albany;PDI_15;Diabetes Short-term Complications;1;10,364;9.65;3.69;35.57;9.13;-2.69
2011;Albany;PDI_16;Gastroenteritis;29;17,847;162.49;19.77;110.8;176.78;9.23
2011;Albany;PDI_91;Pediatric Quality Acute Composite;11;10,364;106.14;7.18;69.28;117.09;3.82
2011;Albany;PDI_92;Pediatric Quality Chronic Composite;16;10,364;154.38;26.65;257.11;148.38;-10.65
2011;Albany;PDI_90;Pediatric Quality Overall Composite;27;10,364;260.52;33.83;326.39;258.24;-6.83
2011;Albany;PDI_18;Urinary Tract Infection;7;17,847;39.22;8.26;46.3;48.1;-1.26
2011;Allegany;PDI_14;Asthma;7;3,149;222.29;3.55;112.69;626.01;3.45
2011;Allegany;PDI_15;Diabetes Short-term Complications;1;2,194;45.58;0.72;32.93;46.56;0.28
2011;Allegany;PDI_16;Gastroenteritis;19;3,701;513.37;3.09;83.48;741.24;15.91
2011;Allegany;PDI_91;Pediatric Quality Acute Composite;4;2,194;182.32;1.14;52.1;267.46;2.86
2011;Allegany;PDI_92;Pediatric Quality Chronic Composite;5;2,194;227.89;2.34;106.7;527.8;2.66
2011;Allegany;PDI_90;Pediatric Quality Overall Composite;9;2,194;410.21;3.48;158.8;835.76;5.52
2011;Allegany;PDI_18;Urinary Tract Infection;3;3,701;81.06;1.18;31.89;144.28;1.82
2011;Bronx;PDI_14;Asthma;1,785;249,550;715.29;989.17;396.38;572.69;795.83
2011;Bronx;PDI_15;Diabetes Short-term Complications;84;175,854;47.77;63.79;36.28;44.3;20.21
2011;Bronx;PDI_16;Gastroenteritis;414;287,767;143.87;393.68;136.8;126.76;20.32
2011;Bronx;PDI_91;Pediatric Quality Acute Composite;169;175,854;96.1;161.62;91.9;79.92;7.38
2011;Bronx;PDI_92;Pediatric Quality Chronic Composite;934;175,854;531.12;546.76;310.91;422.14;387.24
2011;Bronx;PDI_90;Pediatric Quality Overall Composite;1,103;175,854;627.22;708.37;402.82;503.78;394.63
2011;Bronx;PDI_18;Urinary Tract Infection;186;287,767;64.64;201.63;70.07;52.37;-15.63
2011;Broome;PDI_14;Asthma;23;13,995;164.34;28.59;204.26;255.34;-5.59
2011;Broome;PDI_15;Diabetes Short-term Complications;8;9,570;83.59;3.25;33.92;82.89;4.75
2011;Broome;PDI_16;Gastroenteritis;10;16,372;61.08;15.7;95.89;76.78;-5.7
2011;Broome;PDI_91;Pediatric Quality Acute Composite;5;9,570;52.25;5.77;60.25;66.27;-0.77
2011;Broome;PDI_92;Pediatric Quality Chronic Composite;14;9,570;146.29;16.14;168.68;214.31;-2.14
2011;Broome;PDI_90;Pediatric Quality Overall Composite;19;9,570;198.54;21.91;228.94;280.58;-2.91
2011;Broome;PDI_18;Urinary Tract Infection;14;16,372;85.51;6.48;39.59;122.62;7.52
2011;Cattaraugus;PDI_14;Asthma;6;5,587;107.39;8.3;148.62;229.32;-2.3
2011;Cattaraugus;PDI_15;Diabetes Short-term Complications;1;3,728;26.82;1.25;33.57;26.88;-0.25
2011;Cattaraugus;PDI_16;Gastroenteritis;8;6,585;121.49;6.01;91.19;160.58;1.99
2011;Cattaraugus;PDI_91;Pediatric Quality Acute Composite;5;3,728;134.12;2.06;55.21;185.65;2.94
2011;Cattaraugus;PDI_92;Pediatric Quality Chronic Composite;5;3,728;134.12;4.64;124.56;266.09;0.36
2011;Cattaraugus;PDI_90;Pediatric Quality Overall Composite;10;3,728;268.24;6.7;179.78;482.75;3.3
2011;Cattaraugus;PDI_18;Urinary Tract Infection;4;6,585;60.74;2.42;36.76;93.81;1.58
2011;Cayuga;PDI_14;Asthma;5;4,757;105.11;7.61;160;208.48;-2.61
2011;Cayuga;PDI_15;Diabetes Short-term Complications;2;3,240;61.73;1.1;34;61.07;0.9
2011;Cayuga;PDI_16;Gastroenteritis;5;5,606;89.19;5.06;90.31;119.04;-0.06
2011;Cayuga;PDI_91;Pediatric Quality Acute Composite;0;3,240;0;1.81;55.94;0;-1.81
