County Name,Priority Area Number,Priority Area,Focus Area Number,Focus Area,Indicator Number,Indicator,Disparity,Event Count/Rate,Average Number of Denominator/Rate,Measure Unit,Percentage/Rate/Ratio,Lower Limit of 95% CI,Upper Limit of 95% CI,Data Comments,Quartile,2018 Objective,Objective Region,Data Years,Date Source
Southern Tier,2,Prevent Chronic Diseases,3,Increase access to high quality chronic disease preventive care and management in both clinical and community settings,pa27_0,"Age-adjusted heart attack hospitalization rate per 10,000",No,902,447917,Age-adjusted rate,15.7,,,,,14,New York State,2014,SPARCS data as of February 2016
Albany,2,Prevent Chronic Diseases,3,Increase access to high quality chronic disease preventive care and management in both clinical and community settings,pa27_0,"Age-adjusted heart attack hospitalization rate per 10,000",No,451,308171,Age-adjusted rate,12.2,,,,0 - < 14.7 : Q1 & Q2,14,New York State,2014,SPARCS data as of February 2016
Allegany,2,Prevent Chronic Diseases,3,Increase access to high quality chronic disease preventive care and management in both clinical and community settings,pa27_0,"Age-adjusted heart attack hospitalization rate per 10,000",No,123,47736,Age-adjusted rate,21.2,,,,17.8 + : Q4,14,New York State,2014,SPARCS data as of February 2016
Broome,2,Prevent Chronic Diseases,3,Increase access to high quality chronic disease preventive care and management in both clinical and community settings,pa27_0,"Age-adjusted heart attack hospitalization rate per 10,000",No,441,197349,Age-adjusted rate,16.7,,,,14.7 - < 17.8 : Q3,14,New York State,2014,SPARCS data as of February 2016
Cattaraugus,2,Prevent Chronic Diseases,3,Increase access to high quality chronic disease preventive care and management in both clinical and community settings,pa27_0,"Age-adjusted heart attack hospitalization rate per 10,000",No,200,78600,Age-adjusted rate,20.1,,,,17.8 + : Q4,14,New York State,2014,SPARCS data as of February 2016
Cayuga,2,Prevent Chronic Diseases,3,Increase access to high quality chronic disease preventive care and management in both clinical and community settings,pa27_0,"Age-adjusted heart attack hospitalization rate per 10,000",No,161,78823,Age-adjusted rate,15.1,,,,14.7 - < 17.8 : Q3,14,New York State,2014,SPARCS data as of February 2016
Chautauqua,2,Prevent Chronic Diseases,3,Increase access to high quality chronic disease preventive care and management in both clinical and community settings,pa27_0,"Age-adjusted heart attack hospitalization rate per 10,000",No,120,132053,Age-adjusted rate,6.3,,,,0 - < 14.7 : Q1 & Q2,14,New York State,2014,SPARCS data as of February 2016
Chemung,2,Prevent Chronic Diseases,3,Increase access to high quality chronic disease preventive care and management in both clinical and community settings,pa27_0,"Age-adjusted heart attack hospitalization rate per 10,000",No,243,87770,Age-adjusted rate,20.7,,,,17.8 + : Q4,14,New York State,2014,SPARCS data as of February 2016
Chenango,2,Prevent Chronic Diseases,3,Increase access to high quality chronic disease preventive care and management in both clinical and community settings,pa27_0,"Age-adjusted heart attack hospitalization rate per 10,000",No,155,49426,Age-adjusted rate,23,,,,17.8 + : Q4,14,New York State,2014,SPARCS data as of February 2016
Clinton,2,Prevent Chronic Diseases,3,Increase access to high quality chronic disease preventive care and management in both clinical and community settings,pa27_0,"Age-adjusted heart attack hospitalization rate per 10,000",No,186,81632,Age-adjusted rate,19.4,,,,17.8 + : Q4,14,New York State,2014,SPARCS data as of February 2016
