Compare Type,Line Label,X Value,Y Value,Geography Name,Geography ID,note
Citywide,New York City,2016,10.2,New York City,1,
Citywide,New York City,2015,11,New York City,1,
Citywide,New York City,2014,11.9,New York City,1,
Citywide,New York City,2013,12.4,New York City,1,
Citywide,New York City,2012,12.5,New York City,1,
Citywide,New York City,2011,12.1,New York City,1,
Citywide,New York City,2010,13.4,New York City,1,
Citywide,New York City,2009,14.9,New York City,1,
Citywide,New York City,2008,15.5,New York City,1,
Citywide,New York City,2007,15.8,New York City,1,
Citywide,New York City,2006,15.7,New York City,1,
Citywide,New York City,2005,17.1,New York City,1,
Citywide,New York City,2004,17,New York City,1,
Citywide,New York City,2003,17.8,New York City,1,
Citywide,New York City,2002,16.8,New York City,1,
Citywide,New York City,2001,18.2,New York City,1,
