Indicator,Indicator_Number,County_name,County,Year,Output,Measure
Fine Particulate (PM2.5): Annual Average Concentration,1,Albany County,1,2000,12.74,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Bronx County,5,2000,16.62,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Broome County,7,2000,11.6,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Chautauqua Co,13,2000,11.38,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Dutchess Coun,27,2000,11.55,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Erie County,29,2000,16.12,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Essex County,31,2000,5.54,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Kings County,47,2000,16.25,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Monroe County,55,2000,11.98,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Nassau County,59,2000,12.22,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,New York Coun,61,2000,18.59,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Niagara Count,63,2000,13.26,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Oneida County,65,2000,11.8,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Onondaga Coun,67,2000,12.23,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Orange County,71,2000,11.87,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Queens County,81,2000,14.42,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Richmond Coun,85,2000,14.31,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,St. Lawrence,89,2000,7.29,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Schenectady C,93,2000,10.75,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Steuben Count,101,2000,9.13,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Suffolk Count,103,2000,12.62,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Westchester C,119,2000,12.73,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Albany County,1,2001,10.54,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Bronx County,5,2001,15.94,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Broome County,7,2001,11.1,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Chautauqua Co,13,2001,11.06,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Dutchess Coun,27,2001,11.17,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Erie County,29,2001,15.45,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Essex County,31,2001,6.88,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Kings County,47,2001,16.04,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Monroe County,55,2001,11.97,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Nassau County,59,2001,12.86,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,New York Coun,61,2001,18.22,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Niagara Count,63,2001,12.64,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Oneida County,65,2001,11.69,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Onondaga Coun,67,2001,11.48,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Orange County,71,2001,11.58,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Queens County,81,2001,14.18,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Richmond Coun,85,2001,14.53,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,St. Lawrence,89,2001,8.44,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Schenectady C,93,2001,10.83,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Steuben Count,101,2001,10.2,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Suffolk Count,103,2001,13.02,Micrograms/cubic meter (LC)
Fine Particulate (PM2.5): Annual Average Concentration,1,Westchester C,119,2001,12.94,Micrograms/cubic meter (LC)
