Indicator,Indicator_Number,County_name,County,Year,Output,Measure
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Albany County,1,2000,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Albany County,1,2001,17,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Albany County,1,2002,20,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Albany County,1,2003,7,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Albany County,1,2004,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Albany County,1,2005,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Albany County,1,2006,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Albany County,1,2007,13,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Albany County,1,2008,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Albany County,1,2009,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Albany County,1,2010,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Albany County,1,2011,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Albany County,1,2012,7,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Albany County,1,2013,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Albany County,1,2014,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Albany County,1,2015,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Albany County,1,2016,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Bronx County,5,2000,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Bronx County,5,2001,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Bronx County,5,2002,21,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Bronx County,5,2003,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Bronx County,5,2004,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Bronx County,5,2005,10,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Bronx County,5,2006,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Bronx County,5,2007,8,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Bronx County,5,2008,8,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Bronx County,5,2009,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Bronx County,5,2010,8,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Bronx County,5,2011,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Bronx County,5,2012,13,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Bronx County,5,2013,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Bronx County,5,2014,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Bronx County,5,2015,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Bronx County,5,2016,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chautauqua Co,13,2000,19,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chautauqua Co,13,2001,30,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chautauqua Co,13,2002,41,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chautauqua Co,13,2003,21,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chautauqua Co,13,2004,16,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chautauqua Co,13,2005,28,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chautauqua Co,13,2006,22,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chautauqua Co,13,2007,25,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chautauqua Co,13,2008,10,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chautauqua Co,13,2009,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chautauqua Co,13,2010,16,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chautauqua Co,13,2011,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chautauqua Co,13,2012,17,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chautauqua Co,13,2013,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chautauqua Co,13,2014,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chautauqua Co,13,2015,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chautauqua Co,13,2016,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chemung Count,15,2000,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chemung Count,15,2001,18,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chemung Count,15,2002,24,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chemung Count,15,2003,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chemung Count,15,2004,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chemung Count,15,2005,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chemung Count,15,2006,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chemung Count,15,2007,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chemung Count,15,2008,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chemung Count,15,2009,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chemung Count,15,2010,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chemung Count,15,2011,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Chemung Count,15,2012,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Dutchess Coun,27,2000,13,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Dutchess Coun,27,2001,23,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Dutchess Coun,27,2002,18,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Dutchess Coun,27,2003,7,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Dutchess Coun,27,2004,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Dutchess Coun,27,2005,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Dutchess Coun,27,2006,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Dutchess Coun,27,2007,15,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Dutchess Coun,27,2008,7,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Dutchess Coun,27,2009,3,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Dutchess Coun,27,2010,6,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Dutchess Coun,27,2011,4,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Dutchess Coun,27,2012,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Dutchess Coun,27,2013,0,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Dutchess Coun,27,2014,1,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Dutchess Coun,27,2015,2,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Dutchess Coun,27,2016,5,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Erie County,29,2000,9,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Erie County,29,2001,28,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Erie County,29,2002,39,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Erie County,29,2003,14,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Erie County,29,2004,15,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Erie County,29,2005,30,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Erie County,29,2006,16,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Erie County,29,2007,18,Days
Ozone: Number of Days with Maximum 8-Hour Average Concentration Above National Ambient Air Quality Standard,1,Erie County,29,2008,10,Days
